participant,event,key_pressed,response_side,is_correct,reaction_time_custom_s
VLC92,images/Main/All/dilemma_pers_main_15.jpg_start,,,,
VLC92,images/Buttons/All_Buttons/dilemma_pers_choice_15.jpg_start,z,left,False,7.7689
VLC92,images/Main/All/dilemma_controllo_main_7.jpg_start,,,,
VLC92,images/Buttons/All_Buttons/dilemma_controllo_choice_7.jpg_start,z,left,True,2.8857
VLC92,images/Main/All/dilemma_controllo_main_3.jpg_start,,,,
VLC92,images/Buttons/All_Buttons/dilemma_controllo_choice_3.jpg_start,m,right,False,1.1485
VLC92,images/Main/All/dilemma_controllo_main_16.jpg_start,,,,
VLC92,images/Buttons/All_Buttons/dilemma_controllo_choice_16.jpg_start,z,left,True,6.2344
VLC92,images/Main/All/dilemma_pers_main_9.jpg_start,,,,
VLC92,images/Buttons/All_Buttons/dilemma_pers_choice_9.jpg_start,m,right,False,0.6692
VLC92,images/Main/All/dilemma_controllo_main_2.jpg_start,,,,
VLC92,images/Buttons/All_Buttons/dilemma_controllo_choice_2.jpg_start,m,right,True,1.1527
VLC92,images/Main/All/dilemma_controllo_main_5.jpg_start,,,,
VLC92,images/Buttons/All_Buttons/dilemma_controllo_choice_5.jpg_start,z,left,False,3.8361
VLC92,images/Main/All/dilemma_imper_main_3.jpg_start,,,,
VLC92,images/Buttons/All_Buttons/dilemma_imper_choice_3.jpg_start,z,left,True,0.5522
VLC92,images/Main/All/dilemma_imper_main_8.jpg_start,,,,
VLC92,images/Buttons/All_Buttons/dilemma_imper_choice_8.jpg_start,m,right,True,0.5691
VLC92,images/Main/All/dilemma_controllo_main_18.jpg_start,,,,
VLC92,images/Buttons/All_Buttons/dilemma_controllo_choice_18.jpg_start,m,right,True,1.6669
VLC92,images/Main/All/dilemma_imper_main_2.jpg_start,,,,
VLC92,images/Buttons/All_Buttons/dilemma_imper_choice_2.jpg_start,z,left,True,7.6693
VLC92,images/Main/All/dilemma_pers_main_4.jpg_start,,,,
VLC92,images/Buttons/All_Buttons/dilemma_pers_choice_4.jpg_start,m,right,False,0.2865
VLC92,images/Main/All/dilemma_pers_main_18.jpg_start,,,,
VLC92,images/Buttons/All_Buttons/dilemma_pers_choice_18.jpg_start,z,left,False,0.6856
VLC92,images/Main/All/dilemma_controllo_main_1.jpg_start,,,,
VLC92,images/Buttons/All_Buttons/dilemma_controllo_choice_1.jpg_start,z,left,True,0.9355
VLC92,images/Main/All/dilemma_imper_main_19.jpg_start,,,,
VLC92,images/Buttons/All_Buttons/dilemma_imper_choice_19.jpg_start,z,left,True,5.3025
VLC92,images/Main/All/dilemma_imper_main_1.jpg_start,,,,
VLC92,images/Buttons/All_Buttons/dilemma_imper_choice_1.jpg_start,z,left,True,1.3689
VLC92,images/Main/All/dilemma_imper_main_15.jpg_start,,,,
VLC92,images/Buttons/All_Buttons/dilemma_imper_choice_15.jpg_start,m,right,True,4.6849
VLC92,images/Main/All/dilemma_imper_main_17.jpg_start,,,,
VLC92,images/Buttons/All_Buttons/dilemma_imper_choice_17.jpg_start,z,left,True,0.6851
VLC92,images/Main/All/dilemma_pers_main_7.jpg_start,,,,
VLC92,images/Buttons/All_Buttons/dilemma_pers_choice_7.jpg_start,m,right,False,0.4860
VLC92,images/Main/All/dilemma_imper_main_10.jpg_start,,,,
VLC92,images/Buttons/All_Buttons/dilemma_imper_choice_10.jpg_start,m,right,True,0.6023
VLC92,images/Main/All/dilemma_pers_main_6.jpg_start,,,,
VLC92,images/Buttons/All_Buttons/dilemma_pers_choice_6.jpg_start,m,right,True,0.2357
VLC92,images/Main/All/dilemma_controllo_main_4.jpg_start,,,,
VLC92,images/Buttons/All_Buttons/dilemma_controllo_choice_4.jpg_start,m,right,True,2.0531
VLC92,images/Main/All/dilemma_pers_main_12.jpg_start,,,,
VLC92,images/Buttons/All_Buttons/dilemma_pers_choice_12.jpg_start,m,right,True,0.5351
VLC92,images/Main/All/dilemma_pers_main_3.jpg_start,,,,
VLC92,images/Buttons/All_Buttons/dilemma_pers_choice_3.jpg_start,z,left,True,0.5506
